[2025-12-31 07:11:52] Network Stats - Interface: ens33 | RX Packets: 18370 | TX Packets: 10101 | RX: 10.36MB | TX: 2.63MB
[2025-12-31 11:31:02] Network Stats - Interface: ens33 | RX Packets: 71637 | TX Packets: 49670 | RX: 34.35MB | TX: 26.58MB
[2025-12-31 11:31:04] Network Stats - Interface: ens33 | RX Packets: 71659 | TX Packets: 49690 | RX: 34.35MB | TX: 26.58MB
[2025-12-31 11:31:06] Network Stats - Interface: ens33 | RX Packets: 71663 | TX Packets: 49692 | RX: 34.35MB | TX: 26.58MB
[2025-12-31 11:31:08] Network Stats - Interface: ens33 | RX Packets: 71667 | TX Packets: 49696 | RX: 34.35MB | TX: 26.58MB
[2025-12-31 11:37:37] Network Stats - Interface: ens33 | RX Packets: 94150 | TX Packets: 52259 | RX: 64.43MB | TX: 27.38MB
[2025-12-31 11:37:39] Network Stats - Interface: ens33 | RX Packets: 94150 | TX Packets: 52259 | RX: 64.43MB | TX: 27.38MB
[2025-12-31 11:37:41] Network Stats - Interface: ens33 | RX Packets: 94150 | TX Packets: 52259 | RX: 64.43MB | TX: 27.38MB
[2025-12-31 11:40:58] Network Stats - Interface: ens33 | RX Packets: 94397 | TX Packets: 52395 | RX: 64.62MB | TX: 27.41MB
[2025-12-31 11:41:00] Network Stats - Interface: ens33 | RX Packets: 94397 | TX Packets: 52395 | RX: 64.62MB | TX: 27.41MB
[2025-12-31 11:41:32] Network Stats - Interface: ens33 | RX Packets: 94558 | TX Packets: 52463 | RX: 64.79MB | TX: 27.42MB
[2025-12-31 11:41:33] Network Stats - Interface: ens33 | RX Packets: 94558 | TX Packets: 52463 | RX: 64.79MB | TX: 27.42MB
[2025-12-31 11:43:15] Network Stats - Interface: ens33 | RX Packets: 94662 | TX Packets: 52523 | RX: 64.85MB | TX: 27.43MB
[2025-12-31 11:43:18] Network Stats - Interface: ens33 | RX Packets: 94662 | TX Packets: 52523 | RX: 64.85MB | TX: 27.43MB
[2025-12-31 11:43:54] Network Stats - Interface: ens33 | RX Packets: 94868 | TX Packets: 52622 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:43:57] Network Stats - Interface: ens33 | RX Packets: 94870 | TX Packets: 52622 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:01] Network Stats - Interface: ens33 | RX Packets: 94875 | TX Packets: 52623 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:05] Network Stats - Interface: ens33 | RX Packets: 94875 | TX Packets: 52623 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:07] Network Stats - Interface: ens33 | RX Packets: 94880 | TX Packets: 52625 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:10] Network Stats - Interface: ens33 | RX Packets: 94883 | TX Packets: 52625 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:13] Network Stats - Interface: ens33 | RX Packets: 94885 | TX Packets: 52627 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:16] Network Stats - Interface: ens33 | RX Packets: 94889 | TX Packets: 52628 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:19] Network Stats - Interface: ens33 | RX Packets: 94893 | TX Packets: 52628 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:22] Network Stats - Interface: ens33 | RX Packets: 94893 | TX Packets: 52628 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:44:25] Network Stats - Interface: ens33 | RX Packets: 94893 | TX Packets: 52628 | RX: 65.08MB | TX: 27.44MB
[2025-12-31 11:45:03] Network Stats - Interface: ens33 | RX Packets: 94997 | TX Packets: 52684 | RX: 65.19MB | TX: 27.45MB
[2025-12-31 11:45:07] Network Stats - Interface: ens33 | RX Packets: 95019 | TX Packets: 52708 | RX: 65.19MB | TX: 27.45MB
[2025-12-31 11:45:11] Network Stats - Interface: ens33 | RX Packets: 95026 | TX Packets: 52715 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:14] Network Stats - Interface: ens33 | RX Packets: 95045 | TX Packets: 52733 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:17] Network Stats - Interface: ens33 | RX Packets: 95046 | TX Packets: 52733 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:21] Network Stats - Interface: ens33 | RX Packets: 95046 | TX Packets: 52733 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:24] Network Stats - Interface: ens33 | RX Packets: 95048 | TX Packets: 52735 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:27] Network Stats - Interface: ens33 | RX Packets: 95048 | TX Packets: 52735 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:31] Network Stats - Interface: ens33 | RX Packets: 95048 | TX Packets: 52735 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:34] Network Stats - Interface: ens33 | RX Packets: 95050 | TX Packets: 52736 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:45:36] Network Stats - Interface: ens33 | RX Packets: 95050 | TX Packets: 52736 | RX: 65.20MB | TX: 27.45MB
[2025-12-31 11:46:11] Network Stats - Interface: ens33 | RX Packets: 95162 | TX Packets: 52803 | RX: 65.28MB | TX: 27.47MB
[2025-12-31 11:46:15] Network Stats - Interface: ens33 | RX Packets: 95170 | TX Packets: 52807 | RX: 65.28MB | TX: 27.47MB
[2025-12-31 11:46:19] Network Stats - Interface: ens33 | RX Packets: 95170 | TX Packets: 52807 | RX: 65.28MB | TX: 27.47MB
[2025-12-31 11:46:21] Network Stats - Interface: ens33 | RX Packets: 95173 | TX Packets: 52807 | RX: 65.28MB | TX: 27.47MB
[2025-12-31 11:49:28] Network Stats - Interface: ens33 | RX Packets: 95779 | TX Packets: 53260 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:31] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:33] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:35] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:37] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:38] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:39] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:40] Network Stats - Interface: ens33 | RX Packets: 95780 | TX Packets: 53261 | RX: 65.58MB | TX: 27.76MB
[2025-12-31 11:49:41] Network Stats - Interface: ens33 | RX Packets: 95790 | TX Packets: 53272 | RX: 65.58MB | TX: 27.77MB
[2025-12-31 11:49:42] Network Stats - Interface: ens33 | RX Packets: 95834 | TX Packets: 53292 | RX: 65.64MB | TX: 27.77MB
[2025-12-31 11:49:43] Network Stats - Interface: ens33 | RX Packets: 95837 | TX Packets: 53296 | RX: 65.64MB | TX: 27.77MB
[2025-12-31 11:49:44] Network Stats - Interface: ens33 | RX Packets: 95844 | TX Packets: 53303 | RX: 65.64MB | TX: 27.77MB
[2025-12-31 11:49:46] Network Stats - Interface: ens33 | RX Packets: 95844 | TX Packets: 53303 | RX: 65.64MB | TX: 27.77MB
[2025-12-31 11:49:48] Network Stats - Interface: ens33 | RX Packets: 95887 | TX Packets: 53322 | RX: 65.69MB | TX: 27.77MB
[2025-12-31 11:49:50] Network Stats - Interface: ens33 | RX Packets: 95887 | TX Packets: 53322 | RX: 65.69MB | TX: 27.77MB
[2025-12-31 11:49:52] Network Stats - Interface: ens33 | RX Packets: 95888 | TX Packets: 53322 | RX: 65.69MB | TX: 27.77MB
[2025-12-31 11:49:54] Network Stats - Interface: ens33 | RX Packets: 95894 | TX Packets: 53325 | RX: 65.69MB | TX: 27.77MB
[2025-12-31 11:49:57] Network Stats - Interface: ens33 | RX Packets: 95910 | TX Packets: 53340 | RX: 65.70MB | TX: 27.77MB
[2025-12-31 11:49:59] Network Stats - Interface: ens33 | RX Packets: 95910 | TX Packets: 53340 | RX: 65.70MB | TX: 27.77MB
[2025-12-31 11:50:01] Network Stats - Interface: ens33 | RX Packets: 95917 | TX Packets: 53345 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:03] Network Stats - Interface: ens33 | RX Packets: 95922 | TX Packets: 53348 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:06] Network Stats - Interface: ens33 | RX Packets: 95926 | TX Packets: 53349 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:08] Network Stats - Interface: ens33 | RX Packets: 95926 | TX Packets: 53349 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:10] Network Stats - Interface: ens33 | RX Packets: 95926 | TX Packets: 53349 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:12] Network Stats - Interface: ens33 | RX Packets: 95929 | TX Packets: 53349 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:14] Network Stats - Interface: ens33 | RX Packets: 95932 | TX Packets: 53351 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:16] Network Stats - Interface: ens33 | RX Packets: 95934 | TX Packets: 53351 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:18] Network Stats - Interface: ens33 | RX Packets: 95936 | TX Packets: 53353 | RX: 65.70MB | TX: 27.78MB
[2025-12-31 11:50:20] Network Stats - Interface: ens33 | RX Packets: 95951 | TX Packets: 53363 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:22] Network Stats - Interface: ens33 | RX Packets: 95955 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:24] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:27] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:29] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:31] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:33] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:35] Network Stats - Interface: ens33 | RX Packets: 95957 | TX Packets: 53364 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:38] Network Stats - Interface: ens33 | RX Packets: 95958 | TX Packets: 53365 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:40] Network Stats - Interface: ens33 | RX Packets: 95958 | TX Packets: 53365 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:42] Network Stats - Interface: ens33 | RX Packets: 95958 | TX Packets: 53365 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:44] Network Stats - Interface: ens33 | RX Packets: 95960 | TX Packets: 53366 | RX: 65.71MB | TX: 27.78MB
[2025-12-31 11:50:48] Network Stats - Interface: ens33 | RX Packets: 96050 | TX Packets: 53408 | RX: 65.80MB | TX: 27.79MB
[2025-12-31 11:50:50] Network Stats - Interface: ens33 | RX Packets: 96282 | TX Packets: 53583 | RX: 65.89MB | TX: 27.92MB
[2025-12-31 11:50:52] Network Stats - Interface: ens33 | RX Packets: 96857 | TX Packets: 53891 | RX: 66.38MB | TX: 28.21MB
[2025-12-31 11:50:54] Network Stats - Interface: ens33 | RX Packets: 97020 | TX Packets: 54007 | RX: 66.50MB | TX: 28.26MB
[2025-12-31 11:50:57] Network Stats - Interface: ens33 | RX Packets: 106699 | TX Packets: 55602 | RX: 79.85MB | TX: 28.37MB
[2025-12-31 11:50:59] Network Stats - Interface: ens33 | RX Packets: 110526 | TX Packets: 56283 | RX: 84.97MB | TX: 28.43MB
[2025-12-31 11:51:01] Network Stats - Interface: ens33 | RX Packets: 116732 | TX Packets: 57354 | RX: 93.52MB | TX: 28.51MB
[2025-12-31 11:51:03] Network Stats - Interface: ens33 | RX Packets: 123922 | TX Packets: 58583 | RX: 103.27MB | TX: 28.61MB
[2025-12-31 11:51:06] Network Stats - Interface: ens33 | RX Packets: 130678 | TX Packets: 59718 | RX: 112.67MB | TX: 28.71MB
[2025-12-31 11:51:08] Network Stats - Interface: ens33 | RX Packets: 136847 | TX Packets: 60743 | RX: 120.94MB | TX: 28.88MB
[2025-12-31 11:51:11] Network Stats - Interface: ens33 | RX Packets: 143128 | TX Packets: 61823 | RX: 129.57MB | TX: 28.95MB
[2025-12-31 11:51:13] Network Stats - Interface: ens33 | RX Packets: 148136 | TX Packets: 62544 | RX: 136.26MB | TX: 29.19MB
[2025-12-31 11:51:16] Network Stats - Interface: ens33 | RX Packets: 156429 | TX Packets: 63254 | RX: 147.76MB | TX: 29.40MB
[2025-12-31 11:51:18] Network Stats - Interface: ens33 | RX Packets: 162738 | TX Packets: 63809 | RX: 156.47MB | TX: 29.55MB
[2025-12-31 11:51:20] Network Stats - Interface: ens33 | RX Packets: 168557 | TX Packets: 64423 | RX: 164.55MB | TX: 29.60MB
[2025-12-31 11:51:22] Network Stats - Interface: ens33 | RX Packets: 174501 | TX Packets: 64975 | RX: 172.83MB | TX: 29.64MB
[2025-12-31 11:51:24] Network Stats - Interface: ens33 | RX Packets: 180663 | TX Packets: 65599 | RX: 181.32MB | TX: 29.68MB
[2025-12-31 11:51:27] Network Stats - Interface: ens33 | RX Packets: 190705 | TX Packets: 66332 | RX: 195.40MB | TX: 29.82MB
[2025-12-31 11:51:28] Network Stats - Interface: ens33 | RX Packets: 196543 | TX Packets: 67057 | RX: 203.35MB | TX: 30.06MB
[2025-12-31 11:51:29] Network Stats - Interface: ens33 | RX Packets: 199099 | TX Packets: 67357 | RX: 206.85MB | TX: 30.11MB
[2025-12-31 11:51:30] Network Stats - Interface: ens33 | RX Packets: 202080 | TX Packets: 67707 | RX: 210.99MB | TX: 30.14MB
[2025-12-31 11:51:31] Network Stats - Interface: ens33 | RX Packets: 205088 | TX Packets: 67959 | RX: 215.17MB | TX: 30.16MB
[2025-12-31 11:51:32] Network Stats - Interface: ens33 | RX Packets: 208219 | TX Packets: 68227 | RX: 219.55MB | TX: 30.18MB
[2025-12-31 11:51:33] Network Stats - Interface: ens33 | RX Packets: 211571 | TX Packets: 68498 | RX: 224.16MB | TX: 30.22MB
[2025-12-31 11:51:36] Network Stats - Interface: ens33 | RX Packets: 218041 | TX Packets: 69133 | RX: 233.17MB | TX: 30.36MB
[2025-12-31 11:51:37] Network Stats - Interface: ens33 | RX Packets: 218363 | TX Packets: 69263 | RX: 233.45MB | TX: 30.47MB
[2025-12-31 11:51:38] Network Stats - Interface: ens33 | RX Packets: 218393 | TX Packets: 69292 | RX: 233.46MB | TX: 30.50MB
[2025-12-31 11:51:39] Network Stats - Interface: ens33 | RX Packets: 218396 | TX Packets: 69297 | RX: 233.46MB | TX: 30.51MB
[2025-12-31 11:51:40] Network Stats - Interface: ens33 | RX Packets: 218425 | TX Packets: 69323 | RX: 233.48MB | TX: 30.52MB
[2025-12-31 11:51:41] Network Stats - Interface: ens33 | RX Packets: 218511 | TX Packets: 69405 | RX: 233.49MB | TX: 30.62MB
[2025-12-31 11:51:43] Network Stats - Interface: ens33 | RX Packets: 218612 | TX Packets: 69497 | RX: 233.50MB | TX: 30.74MB
[2025-12-31 11:51:46] Network Stats - Interface: ens33 | RX Packets: 218650 | TX Packets: 69538 | RX: 233.51MB | TX: 30.76MB
[2025-12-31 11:51:48] Network Stats - Interface: ens33 | RX Packets: 218674 | TX Packets: 69562 | RX: 233.52MB | TX: 30.77MB
[2025-12-31 11:51:50] Network Stats - Interface: ens33 | RX Packets: 218684 | TX Packets: 69574 | RX: 233.53MB | TX: 30.77MB
[2025-12-31 11:51:52] Network Stats - Interface: ens33 | RX Packets: 218719 | TX Packets: 69610 | RX: 233.54MB | TX: 30.80MB
[2025-12-31 11:51:55] Network Stats - Interface: ens33 | RX Packets: 218754 | TX Packets: 69642 | RX: 233.56MB | TX: 30.82MB
[2025-12-31 11:51:57] Network Stats - Interface: ens33 | RX Packets: 218808 | TX Packets: 69697 | RX: 233.58MB | TX: 30.87MB
[2025-12-31 11:51:59] Network Stats - Interface: ens33 | RX Packets: 218862 | TX Packets: 69747 | RX: 233.59MB | TX: 30.91MB
[2025-12-31 11:52:01] Network Stats - Interface: ens33 | RX Packets: 218880 | TX Packets: 69763 | RX: 233.61MB | TX: 30.91MB
[2025-12-31 11:52:03] Network Stats - Interface: ens33 | RX Packets: 219170 | TX Packets: 70031 | RX: 233.65MB | TX: 31.22MB
[2025-12-31 11:52:05] Network Stats - Interface: ens33 | RX Packets: 219323 | TX Packets: 70170 | RX: 233.71MB | TX: 31.33MB
[2025-12-31 11:52:06] Network Stats - Interface: ens33 | RX Packets: 219413 | TX Packets: 70239 | RX: 233.83MB | TX: 31.33MB
[2025-12-31 11:52:07] Network Stats - Interface: ens33 | RX Packets: 221454 | TX Packets: 70646 | RX: 236.61MB | TX: 31.36MB
[2025-12-31 11:52:08] Network Stats - Interface: ens33 | RX Packets: 224074 | TX Packets: 70810 | RX: 240.35MB | TX: 31.37MB
[2025-12-31 11:52:10] Network Stats - Interface: ens33 | RX Packets: 224538 | TX Packets: 70877 | RX: 240.99MB | TX: 31.38MB
[2025-12-31 11:52:12] Network Stats - Interface: ens33 | RX Packets: 225315 | TX Packets: 70942 | RX: 242.07MB | TX: 31.38MB
[2025-12-31 11:52:17] Network Stats - Interface: ens33 | RX Packets: 225414 | TX Packets: 71018 | RX: 242.11MB | TX: 31.45MB
[2025-12-31 11:52:19] Network Stats - Interface: ens33 | RX Packets: 225507 | TX Packets: 71107 | RX: 242.12MB | TX: 31.55MB
[2025-12-31 11:52:22] Network Stats - Interface: ens33 | RX Packets: 225521 | TX Packets: 71116 | RX: 242.12MB | TX: 31.56MB
[2025-12-31 11:52:45] Network Stats - Interface: ens33 | RX Packets: 225634 | TX Packets: 71201 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:47] Network Stats - Interface: ens33 | RX Packets: 225635 | TX Packets: 71202 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:50] Network Stats - Interface: ens33 | RX Packets: 225636 | TX Packets: 71203 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:52] Network Stats - Interface: ens33 | RX Packets: 225637 | TX Packets: 71205 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:54] Network Stats - Interface: ens33 | RX Packets: 225637 | TX Packets: 71205 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:56] Network Stats - Interface: ens33 | RX Packets: 225643 | TX Packets: 71211 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:52:58] Network Stats - Interface: ens33 | RX Packets: 225643 | TX Packets: 71211 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:53:01] Network Stats - Interface: ens33 | RX Packets: 225647 | TX Packets: 71214 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:53:04] Network Stats - Interface: ens33 | RX Packets: 225649 | TX Packets: 71215 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:53:07] Network Stats - Interface: ens33 | RX Packets: 225649 | TX Packets: 71215 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 11:53:12] Network Stats - Interface: ens33 | RX Packets: 225660 | TX Packets: 71225 | RX: 242.19MB | TX: 31.60MB
[2025-12-31 12:03:10] Network Stats - Interface: ens33 | RX Packets: 227057 | TX Packets: 72218 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:12] Network Stats - Interface: ens33 | RX Packets: 227059 | TX Packets: 72218 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:14] Network Stats - Interface: ens33 | RX Packets: 227061 | TX Packets: 72218 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:16] Network Stats - Interface: ens33 | RX Packets: 227062 | TX Packets: 72218 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:20] Network Stats - Interface: ens33 | RX Packets: 227064 | TX Packets: 72219 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:22] Network Stats - Interface: ens33 | RX Packets: 227066 | TX Packets: 72219 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:24] Network Stats - Interface: ens33 | RX Packets: 227070 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:26] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:28] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:30] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:32] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:34] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:03:36] Network Stats - Interface: ens33 | RX Packets: 227071 | TX Packets: 72220 | RX: 242.82MB | TX: 32.03MB
[2025-12-31 12:28:42] Network Stats - Interface: ens33 | RX Packets: 232020 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:43] Network Stats - Interface: ens33 | RX Packets: 232020 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:44] Network Stats - Interface: ens33 | RX Packets: 232020 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:45] Network Stats - Interface: ens33 | RX Packets: 232020 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:46] Network Stats - Interface: ens33 | RX Packets: 232020 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:47] Network Stats - Interface: ens33 | RX Packets: 232021 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:48] Network Stats - Interface: ens33 | RX Packets: 232022 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:49] Network Stats - Interface: ens33 | RX Packets: 232023 | TX Packets: 76191 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:51] Network Stats - Interface: ens33 | RX Packets: 232026 | TX Packets: 76193 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:53] Network Stats - Interface: ens33 | RX Packets: 232030 | TX Packets: 76195 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:55] Network Stats - Interface: ens33 | RX Packets: 232030 | TX Packets: 76195 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:57] Network Stats - Interface: ens33 | RX Packets: 232031 | TX Packets: 76195 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:28:59] Network Stats - Interface: ens33 | RX Packets: 232057 | TX Packets: 76223 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:29:02] Network Stats - Interface: ens33 | RX Packets: 232064 | TX Packets: 76225 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:29:04] Network Stats - Interface: ens33 | RX Packets: 232066 | TX Packets: 76225 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:29:06] Network Stats - Interface: ens33 | RX Packets: 232069 | TX Packets: 76227 | RX: 244.78MB | TX: 34.39MB
[2025-12-31 12:29:08] Network Stats - Interface: ens33 | RX Packets: 232077 | TX Packets: 76233 | RX: 244.79MB | TX: 34.40MB
[2025-12-31 12:29:11] Network Stats - Interface: ens33 | RX Packets: 232081 | TX Packets: 76234 | RX: 244.79MB | TX: 34.40MB
[2025-12-31 12:29:13] Network Stats - Interface: ens33 | RX Packets: 232083 | TX Packets: 76238 | RX: 244.79MB | TX: 34.40MB
[2025-12-31 12:29:15] Network Stats - Interface: ens33 | RX Packets: 232110 | TX Packets: 76267 | RX: 244.79MB | TX: 34.41MB
[2025-12-31 12:29:17] Network Stats - Interface: ens33 | RX Packets: 232183 | TX Packets: 76320 | RX: 244.81MB | TX: 34.43MB
[2025-12-31 12:29:20] Network Stats - Interface: ens33 | RX Packets: 232223 | TX Packets: 76354 | RX: 244.81MB | TX: 34.45MB
[2025-12-31 12:29:22] Network Stats - Interface: ens33 | RX Packets: 232225 | TX Packets: 76355 | RX: 244.81MB | TX: 34.45MB
[2025-12-31 12:33:37] Network Stats - Interface: ens33 | RX Packets: 235715 | TX Packets: 78876 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:39] Network Stats - Interface: ens33 | RX Packets: 235715 | TX Packets: 78876 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:41] Network Stats - Interface: ens33 | RX Packets: 235715 | TX Packets: 78876 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:43] Network Stats - Interface: ens33 | RX Packets: 235715 | TX Packets: 78876 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:45] Network Stats - Interface: ens33 | RX Packets: 235717 | TX Packets: 78877 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:47] Network Stats - Interface: ens33 | RX Packets: 235717 | TX Packets: 78877 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:49] Network Stats - Interface: ens33 | RX Packets: 235717 | TX Packets: 78877 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:51] Network Stats - Interface: ens33 | RX Packets: 235717 | TX Packets: 78877 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:53] Network Stats - Interface: ens33 | RX Packets: 235719 | TX Packets: 78879 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:56] Network Stats - Interface: ens33 | RX Packets: 235719 | TX Packets: 78879 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:33:58] Network Stats - Interface: ens33 | RX Packets: 235719 | TX Packets: 78879 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:34:00] Network Stats - Interface: ens33 | RX Packets: 235719 | TX Packets: 78879 | RX: 246.64MB | TX: 36.01MB
[2025-12-31 12:34:50] Network Stats - Interface: ens33 | RX Packets: 235866 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:34:52] Network Stats - Interface: ens33 | RX Packets: 235866 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:34:54] Network Stats - Interface: ens33 | RX Packets: 235868 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:34:56] Network Stats - Interface: ens33 | RX Packets: 235870 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:34:59] Network Stats - Interface: ens33 | RX Packets: 235870 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:34:59] Network Stats - Interface: ens33 | RX Packets: 235870 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:35:00] Network Stats - Interface: ens33 | RX Packets: 235870 | TX Packets: 78953 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:35:01] Network Stats - Interface: ens33 | RX Packets: 235873 | TX Packets: 78955 | RX: 246.81MB | TX: 36.02MB
[2025-12-31 12:35:02] Network Stats - Interface: ens33 | RX Packets: 235874 | TX Packets: 78955 | RX: 246.81MB | TX: 36.02MB
